Unnamed: 0,Unnamed: 1,Unnamed: 2,trans-splice site 1,Unnamed: 4,Unnamed: 5,Unnamed: 6,trans-splice site 2,Unnamed: 8,Unnamed: 9,Unnamed: 10,trans-splice site 3,Unnamed: 12,Unnamed: 13,Unnamed: 14,trans-splice site 4,Unnamed: 16,Unnamed: 17,Unnamed: 18,trans-splice site 5,Unnamed: 20,Unnamed: 21,Unnamed: 22,trans-splice site 6,Unnamed: 24,Unnamed: 25,Unnamed: 26,trans-splice site 7,Unnamed: 28,Unnamed: 29,Unnamed: 30,trans-splice site 8,Unnamed: 32,Unnamed: 33,Unnamed: 34,trans-splice site 9,Unnamed: 36,Unnamed: 37,Unnamed: 38,trans-splice site 10,Unnamed: 40,Unnamed: 41,Unnamed: 42,trans-splice site 11,Unnamed: 44,Unnamed: 45,Unnamed: 46,trans-splice site 12,Unnamed: 48,Unnamed: 49,Unnamed: 50
T23F11.1,III,+,4650459,564,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T23F11.3,III,+,4658834,353,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45E6.6,X,-,12503259,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK1098.3,III,-,9538599,13,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK1098.2,III,+,9528558,1,0,0,9529062,304,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK1098.1,III,+,9521976,808,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18A3.6,II,-,5727639,28,0,0,5724697,89,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK1098.7,III,-,9523573,1880,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK1098.5,III,+,9525453,41,177,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK1098.4,III,+,9543027,940,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK1098.8,III,-,9542279,261,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K07F5.9,IV,-,9851220,7,0,0,9851122,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18A3.3,II,+,5716274,10,126,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C47D2.2,X,-,8210735,1093,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K07F5.4,IV,-,9840780,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04E6.8,V,-,5883646,100,0,0,5883316,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y67H2A.10,IV,-,13289467,19,24,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T15B7.15,V,-,6838470,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04E6.7,V,+,5893130,221,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F52C9.8,III,+,5311205,55,191,370,5311217,0,1,0,5319523,287,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45G2.1,III,+,13406423,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45G2.2,III,+,13420065,4,0,0,13420530,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45G2.5,III,-,13429597,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T23G11.6,I,-,7689397,419,0,1,7689351,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45G2.7,III,-,13434384,29,26,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45G2.6,III,+,13430439,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01G4.4,II,-,13460543,747,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45G2.8,III,-,13435550,98,447,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01G4.6,II,+,13482306,399,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01G4.7,II,+,13477585,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01G4.1,II,-,13447494,344,14,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01G4.3,II,-,13461980,3,0,0,13461943,3,0,0,13461604,307,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C50E3.11,V,-,7603295,481,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T14F9.1,X,+,2237904,2777,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C50E3.12,V,-,7621870,183,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04H5.2,II,-,14537473,49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04H5.1,II,+,14534196,126,122,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y39B6A.14,V,-,19118206,3,40,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y95D11A.3,I,+,10940676,31,68,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y95D11A.1,I,+,10944201,75,166,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y54E10BR.3,I,+,3021652,93,167,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y54E10BR.4,I,+,3015743,1277,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y54E10BR.5,I,-,3031093,95,500,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04H5.9,II,-,14540421,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04H5.8,II,+,14550826,44,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01C4.2,X,+,3716265,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01C4.3,X,+,3709259,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01C4.1,X,+,3727560,491,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H21P03.1,IV,-,11480437,1,0,0,11480156,3988,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T14F9.4,X,+,2215623,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F27C8.6,IV,-,9588811,1549,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y47G6A.14,I,-,3466303,139,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y47G6A.12,I,-,3438544,519,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y47G6A.10,I,+,3467133,912,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y47G6A.11,I,+,3449327,37,34,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F44C8.9,V,-,2214304,19,0,0,2214296,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y47G6A.18,I,-,3512735,750,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y47G6A.19,I,-,3529958,527,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01D5.3,II,-,13999828,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01D5.2,II,-,13998698,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01D5.1,II,-,13997475,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01D5.6,II,+,14006407,376,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01D5.4,II,-,14000938,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F36F2.1,I,+,9019482,77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F36F2.2,I,+,9016757,1591,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01D5.8,II,+,14011154,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F36F2.4,I,-,9003954,156,109,225,9003947,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F36F2.6,I,-,9008699,29,68,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F33E11.3,V,-,304542,32,60,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C39F7.2,V,-,1235275,153,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E02C12.5,V,-,9359575,72,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C35C5.4,X,+,11548531,304,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y41D4B.4,IV,+,1660110,24,43,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y41D4B.5,IV,+,1659689,167886,48,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y41D4B.7,IV,+,1624063,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y41D4B.1,IV,+,1672702,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F21F8.7,V,-,8268744,12031,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F21F8.4,V,+,8270450,405,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F21F8.3,V,+,8272192,23581,83,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54C9.8,II,+,8575467,3523,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54C9.9,II,+,8577973,321,21,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54C9.1,II,-,8561432,10,0,0,8560888,29970,10,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54C9.2,II,-,8566063,120,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54C9.3,II,-,8566781,2739,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54C9.5,II,+,8569851,50045,26,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54C9.6,II,+,8571009,1,0,2,8571015,2,18,100,8571020,9,32,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54C9.7,II,+,8573277,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y38C1AA.9,IV,-,157899,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y38C1AA.8,IV,-,147965,201,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F08E10.5,V,-,17481655,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y57E12AL.6,V,-,7060168,4573,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y38C1AA.1,IV,+,208175,0,3,16,208189,26,84,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y38C1AA.2,IV,+,194745,702,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y38C1AA.4,IV,+,179008,244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y38C1AA.6,IV,+,162830,45,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C49C3.5,IV,+,17329148,74,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C49C3.4,IV,+,17320749,347,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C49C3.7,IV,+,17332529,50,44,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C47D12.8,II,+,11696080,43,39,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F44C8.2,V,+,2231051,25,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C47D12.2,II,+,11676215,306,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C47D12.1,II,-,11675836,52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F15H10.2,V,-,10421692,1716,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C47D12.7,II,+,11688860,69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F44C8.7,V,+,2215546,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F44C8.4,V,+,2225258,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F44C8.5,V,+,2221893,3,8,5,2221901,1,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W04A4.5,I,+,13663516,113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W04A4.6,I,-,13687565,299,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T08G5.5,V,-,14038179,980,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y22D7AL.10,III,-,1618918,9039,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y22D7AL.12,III,-,1644556,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T22F3.7,V,-,3600472,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y22D7AL.15,III,-,1659850,1010,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41C3.8,II,+,4716034,138,0,0,4716692,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F53B2.8,IV,-,12527318,36,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41C3.4,II,+,4740382,1,0,0,4740399,454,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41C3.5,II,+,4737635,4400,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41C3.1,II,+,4752318,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41C3.2,II,+,4749955,187,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41C3.3,II,+,4741581,0,0,2,4742115,10,6,17,4742124,454,52,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T01D1.4,II,-,179093,2033,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C54F6.15,V,-,7522070,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C54F6.13,V,-,7544647,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C53D6.4,IV,-,9020920,1230,0,2,9020854,11,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41H10.8,IV,-,5388561,37,0,0,5388548,14138,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F28B3.10,I,-,4950477,0,2,1,4950435,0,1,1,4950411,211,715,1111,4950375,0,4,4,4950343,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41H10.4,IV,+,5364548,225,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41H10.5,IV,+,5360810,1,0,0,5360989,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41H10.6,IV,-,5364216,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F58E1.13,II,-,1695864,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T06C12.6,V,-,15876212,11,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C53D6.6,IV,-,9031635,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T06C12.4,V,+,15867487,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F41H10.3,IV,+,5369788,420,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y48G1BR.1,I,-,259157,298,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C49F8.1,X,-,13364916,158,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C49F8.3,X,-,13387550,13,0,0,13387469,808,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C49F8.2,X,-,13376913,161,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y46H3D.6,V,-,1626647,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y46H3D.7,V,-,1629261,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15C8.3,V,+,12741849,2978,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y46H3D.5,V,-,1624267,4,0,0,1623899,128,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15C8.4,V,-,12747271,438,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C06G8.3,IV,+,10799648,510,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C06G8.2,IV,+,10790625,281,0,1,10790642,64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12H4.8,III,-,8080207,104,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y41E3.9,IV,+,15025673,74,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y41E3.8,IV,-,15028937,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12H4.3,III,+,8045961,37,161,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12H4.2,III,+,8047639,6,42,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12H4.1,III,+,8067217,240,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y41E3.1,IV,-,14958996,52,0,0,14958875,247,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H10E21.5,III,-,23962,109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12H4.5,III,+,8044410,6874,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12H4.4,III,+,8044944,21,1089,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F13H6.1,V,+,6356286,270,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10C3.6,I,+,9871216,292,40,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10C3.5,I,+,9863578,35,55,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10C3.4,I,+,9860485,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10C3.3,I,+,9847394,667,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10C3.2,I,-,9852042,78,0,0,9851779,1990,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C06E8.3,III,+,6996416,70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y43C5B.3,IV,+,10353155,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C06E8.5,III,-,7005377,106,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0393.8,III,-,4752405,45,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0393.9,III,-,4780116,4,0,0,4779880,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T15B7.10,V,+,6810232,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04B4.2,X,+,12283209,233,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0393.1,III,-,4754015,16455,14,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0393.2,III,+,4754467,6,0,0,4754552,392,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0393.3,III,+,4757222,94,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29E6.1,IV,+,11885585,196,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29E6.2,IV,+,11864502,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04H4.1,III,-,9344349,1069,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29E6.5,IV,+,11899632,163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45H7.4,III,-,3370198,4,0,0,3366797,107,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45H7.6,III,-,3384176,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
