Chromosome,strand,trans-spliced position,percent SL2,binomial exact p-value for the percent SL2,number of reads,number of SL1 reads,number of total SL2 reads (SL2+SL2 variant reads),number of SL2 variant reads,non-trans-spliced reads at this position,"type of trans-splice site (gene, cis, other)",gene name,gene rank (within operon),position of first AUG,average exp of the gene (dcpm),distance to upstream gene 3' end,position of the upstream gene 3' end,length of 5' UTR (trans-splice site to first AUG),position of the closest annotated 5' end,distance from the closest annotated 5' end to trans-splice site,distance from the closest annotated 5' end to first AUG downstream of trans-splice site
I,+,1338787,0.874564,3.3292e-41,287,36,251,123,2,gene,K12C11.7,2,1338807,0.15322,567,1338220,20,1338786,-1,-21
I,+,1338796,1.0,0.5,1,0,1,0,701,gene,K12C11.7,2,1338807,0.15322,576,1338220,11,1338786,-10,-21
I,+,1340686,0.00623547,0.0,9462,9403,59,54,3,gene,K12C11.2,3,1340703,25.2793,929,1339757,17,1340679,-7,-24
I,+,1348506,0.0,0.03125,5,5,0,0,2,gene,Y92H12BL.1,0,1348524,0.64759,7251,1341255,18,1348504,-2,-20
I,+,1365310,0.0206298,0.0,921,902,19,14,2,gene,Y92H12BL.5,0,1365521,0.649258,6796,1358514,211,1365310,0,-211
I,+,1394570,0.00546448,0.0,183,182,1,1,2,gene,Y92H12BR.7,1,1394598,0.189466,18692,1375878,28,1394570,0,-28
I,+,1405936,0.74359,4.2736e-08,117,30,87,58,1,gene,Y92H12BR.6,2,1405944,0.275226,3701,1402235,8,1405945,9,1
I,+,1416589,0.00470035,0.0,1702,1694,8,7,0,gene,Y92H12BR.3,0,1416591,1.57483,3488,1413101,2,1416592,3,1
I,+,1436280,0.00740741,0.0,270,268,2,2,1,gene,Y92H12BR.8,0,1436292,1.18377,11028,1425252,12,1436280,0,-12
I,+,1436293,0.00768246,0.0,781,775,6,4,479,gene,Y92H12BR.8,0,1436368,1.18377,11041,1425252,75,1436280,-13,-88
I,+,1446655,0.0,2.98023e-08,25,25,0,0,1,gene,F47G6.4,0,1446666,0.425242,5319,1441336,11,1446667,12,1
I,+,1483084,0.0134228,1.54507e-41,149,147,2,2,1,gene,F47G6.1,0,1483106,0.319994,3160,1479924,22,1483084,0,-22
I,+,1514758,0.00692042,0.0,289,287,2,2,1,gene,Y92H12A.4,0,1514762,0.364444,24095,1490663,4,1514763,5,1
I,+,1543526,0.0,0.0,220,220,0,0,0,gene,Y92H12A.2,0,1543573,0.678027,2606,1540920,47,1543526,0,-47
I,+,1566932,0.00353357,0.0,283,282,1,0,1,gene,Y92H12A.1,0,1566973,1.41892,10737,1556195,41,1566932,0,-41
I,+,1567602,0.0,0.5,1,1,0,0,2,gene,Y92H12A.1,0,1567609,1.41892,11407,1556195,7,1567602,0,-7
I,+,1586168,0.0,0.5,1,1,0,0,1,gene,Y73E7A.3,0,1586285,0.17911,5970,1580198,117,1586168,0,-117
I,+,1601839,0.00990099,3.98375e-29,101,100,1,1,1,gene,Y73E7A.2,0,1601840,0.395823,8170,1593669,1,1601841,2,1
I,+,1610389,0.00917431,0.0,327,324,3,2,0,gene,Y73E7A.9,0,1610390,0.31678,3462,1606927,1,1610391,2,1
I,+,1629006,0.0176991,0.0,565,555,10,5,1,gene,Y73E7A.1,0,1629022,1.40756,8985,1620021,16,1629006,0,-16
I,+,1667624,0.0,0.25,2,2,0,0,1,gene,Y71G12B.17,0,1667728,0.416455,12224,1655400,104,1667502,-122,-226
I,+,1667661,0.0,7.70372e-34,110,110,0,0,8,gene,Y71G12B.17,0,1667728,0.416455,12261,1655400,67,1667502,-159,-226
I,+,1698350,0.00189215,0.0,3171,3165,6,6,37,gene,Y71G12B.15,1,1698351,4.68562,13153,1685197,1,1698350,0,-1
I,+,1701362,0.0516454,0.0,6351,6023,328,228,13,gene,Y71G12B.14,2,1701372,8.46531,233,1701129,10,1701359,-3,-13
I,+,1701370,0.125,0.03125,8,7,1,1,2736,gene,Y71G12B.14,2,1701372,8.46531,241,1701129,2,1701359,-11,-13
I,+,1702106,0.00306748,0.0,326,325,1,1,4,gene,Y71G12B.13,3,1702123,0.482053,299,1701807,17,1702124,18,1
I,+,1702369,0.0,0.5,1,1,0,0,10,gene,Y71G12B.13,3,1702572,0.482053,562,1701807,203,1702124,-245,-448
I,+,1709588,0.767986,1.07837e-38,556,129,427,291,78,gene,Y71G12B.12,4,1709601,1.32411,1002,1708586,13,1709588,0,-13
I,+,1721593,0.00137741,0.0,1452,1450,2,2,6,gene,Y71G12B.11,0,1721597,2.10246,6029,1715564,4,1721593,0,-4
I,+,1751482,0.00685871,0.0,729,724,5,5,2,gene,Y71G12B.10,1,1751493,0.933656,10801,1740681,11,1751482,0,-11
I,+,1755330,0.66537,3.16621e-08,257,86,171,115,1,gene,Y71G12B.9,2,1755330,0.79659,920,1754410,0,1755330,0,0
I,+,1767888,0.918367,1.4013e-45,245,20,225,144,21,gene,Y71G12B.8,3,1767900,0.685682,1490,1766398,12,1767888,0,-12
I,+,1793255,0.0,0.0,236,236,0,0,0,gene,Y71G12B.6,0,1793260,1.12296,3097,1790158,5,1793255,0,-5
I,+,1823448,0.0204082,0.0,539,528,11,11,12,gene,Y71G12B.1,0,1823454,1.14074,4868,1818580,6,1823448,0,-6
I,+,1831801,0.0,0.5,1,1,0,0,0,gene,Y71G12B.28,0,1831896,0.003409,2079,1829722,95,1831801,0,-95
I,+,1832898,0.0193906,0.0,361,354,7,7,0,gene,C53H9.2,1,1833012,2.54033,835,1832063,114,1832898,0,-114
I,+,1833220,0.0,0.5,1,1,0,0,1,gene,C53H9.2,1,1833337,2.54033,1157,1832063,117,1833220,0,-117
I,+,1834884,0.860278,0.0,66024,9225,56799,37249,6,gene,C53H9.1,2,1834889,129.53,124,1834760,5,1834884,0,-5
I,+,1841995,0.0,0.000976562,10,10,0,0,5,gene,M01D7.6,0,1842225,2.45235,58,1841937,230,1842444,449,219
I,+,1842446,0.00355745,0.0,2811,2801,10,6,8,gene,M01D7.6,0,1842460,2.45235,509,1841937,14,1842446,0,-14
I,+,1845209,0.133333,2.31497e-07,45,39,6,5,18,gene,M01D7.4,0,1845221,0.243595,1240,1843969,12,1845222,13,1
I,+,1895231,0.0,3.05176e-05,15,15,0,0,13,gene,Y71G12A.2,0,1895235,0.252989,11036,1884195,4,1895236,5,1
I,+,1917035,0.0,0.03125,5,5,0,0,20,gene,Y51F10.6,1,1917045,0.277366,5419,1911616,10,1917046,11,1
I,+,1924301,0.946809,0.0,282,15,267,185,0,gene,Y51F10.5,2,1924309,0.387333,1204,1923097,8,1924301,0,-8
I,+,1924405,0.0,0.0625,4,4,0,0,85,gene,Y51F10.5,2,1924424,0.387333,1308,1923097,19,1924301,-104,-123
I,+,1932345,0.982456,3.95517e-16,57,1,56,39,10,gene,Y51F10.4,3,1932353,0.490136,84,1932261,8,1932353,8,0
I,+,1932353,0.945355,0.0,366,20,346,227,89,gene,Y51F10.4,3,1932353,0.490136,92,1932261,0,1932353,0,0
I,+,1961641,1.0,0.5,1,0,1,1,1,gene,Y51F10.11,1,1961666,0.151491,16422,1945219,25,1961617,-24,-49
I,+,1967774,0.899384,0.0,487,49,438,294,1,gene,Y51F10.3,2,1967819,1.27924,2692,1965082,45,1967820,46,1
I,+,2026318,0.00593472,0.0,337,335,2,2,3,gene,Y20F4.2,0,2026408,0.729539,42904,1983414,90,2026318,0,-90
I,+,2064295,0.00426309,0.0,6568,6540,28,24,8,gene,Y37E3.3,1,2064306,5.36484,30336,2033959,11,2064295,0,-11
I,+,2064978,0.487776,0.00246094,5072,2598,2474,1752,21,gene,Y37E3.4,2,2065069,7.51932,181,2064797,91,2064978,0,-91
I,+,2071354,0.00975419,0.0,2563,2538,25,20,12,gene,Y37E3.9,1,2071354,6.0085,2303,2069051,0,2071354,0,0
I,+,2072682,0.891943,0.0,1055,114,941,638,0,gene,Y37E3.10,2,2072690,3.27819,111,2072571,8,2072682,0,-8
I,+,2078963,0.336554,7.10822e-17,621,412,209,151,1,gene,Y37E3.11,3,2078969,1.74164,2037,2076926,6,2078970,7,1
I,+,2097348,0.00334169,0.0,1197,1193,4,4,5,gene,Y37E3.15,0,2097348,1.26586,11700,2085648,0,2097348,0,0
I,+,2128592,0.50234,0.0312822,641,319,322,271,2,gene,Y37E3.17,0,2128680,2.14146,5151,2123441,88,2128592,0,-88
I,+,2160044,0.0,9.62965e-35,113,113,0,0,3,gene,W03F11.6,0,2160058,1.5688,10738,2149306,14,2160044,0,-14
I,+,2216101,0.0487805,3.72893e-10,41,39,2,1,6,gene,W03F11.5,0,2216203,0.0820303,6466,2209635,102,2216101,0,-102
I,+,2250132,0.00314465,0.0,318,317,1,1,1,gene,F12B6.2,0,2250145,0.251606,2850,2247282,13,2250132,0,-13
I,+,2279836,0.0,0.0,544,544,0,0,1,gene,Y39G10AL.1,0,2279847,0.589141,24935,2254901,11,2279835,-1,-12
I,+,2293133,0.00133869,0.0,1494,1492,2,1,25,gene,Y39G10AR.11,0,2293217,2.72477,11907,2281226,84,2293133,0,-84
I,+,2300087,0.00222469,0.0,899,897,2,1,6,gene,Y39G10AR.10,0,2300113,3.15101,2741,2297346,26,2300087,0,-26
I,+,2307405,0.0060423,0.0,331,329,2,2,10,gene,Y39G10AR.9,1,2307410,0.850411,4563,2302842,5,2307405,0,-5
I,+,2308977,0.869318,3.98358e-25,176,23,153,109,0,gene,Y39G10AR.21,2,2308977,0.431761,64,2308913,0,2308977,0,0
I,+,2312497,0.384567,8.51201e-40,3188,1962,1226,982,14,gene,Y39G10AR.20,3,2312510,5.72974,367,2312130,13,2312497,0,-13
I,+,2313272,0.00601017,0.0,2163,2150,13,10,4,gene,Y39G10AR.8,0,2313311,3.61185,265,2313007,39,2313272,0,-39
I,+,2316308,0.0111732,0.0,179,177,2,2,2,gene,Y39G10AR.7,0,2316309,0.474575,293,2316015,1,2316308,0,-1
I,+,2402233,0.00362976,0.0,551,549,2,2,1,gene,Y39G10AR.2,0,2402235,0.813493,29268,2372965,2,2402233,0,-2
I,+,2415134,0.0,0.0,160,160,0,0,0,gene,F23C8.13,0,2415173,2.3194,5148,2409986,39,2415134,0,-39
I,+,2434005,0.00188857,0.0,1059,1057,2,2,2,gene,F23C8.4,0,2434011,1.66359,15467,2418538,6,2434005,0,-6
I,+,2438768,0.0306122,4.7993e-25,98,95,3,1,2,gene,F23C8.3,0,2438775,0.123594,3058,2435710,7,2438802,34,27
I,+,2485868,0.00690846,0.0,1158,1150,8,8,3,gene,Y74C10AR.1,1,2485869,3.18805,2143,2483725,1,2485870,2,1
I,+,2489977,0.797688,4.31483e-16,173,35,138,93,4,gene,Y23H5B.6,2,2489984,0.691872,195,2489782,7,2489977,0,-7
I,+,2498135,0.811715,1.20668e-23,239,45,194,136,1,gene,Y23H5B.5,3,2498136,0.615048,754,2497381,1,2498135,0,-1
I,+,2533269,0.0,1.2326e-32,106,106,0,0,0,gene,Y23H5B.4,0,2533291,0.160332,21116,2512153,22,2533269,0,-22
I,+,2552734,0.0,0.03125,5,5,0,0,2,gene,Y23H5B.1,0,2552744,0.0856308,2535,2550199,10,2553035,301,291
I,+,2553047,0.0,0.000488281,11,11,0,0,86,gene,Y23H5B.1,0,2553094,0.0856308,2848,2550199,47,2553035,-12,-59
I,+,2606755,0.00357143,0.0,280,279,1,0,0,gene,Y23H5A.5,0,2606783,0.995132,4106,2602649,28,2606755,0,-28
I,+,2620657,0.00754717,0.0,795,789,6,5,2,gene,Y23H5A.3,1,2620659,1.69208,234,2620423,2,2620660,3,1
I,+,2621958,0.963687,0.0,358,13,345,267,0,gene,Y23H5A.2,2,2621994,0.420049,99,2621859,36,2621958,0,-36
I,+,2629686,0.0,1.45519e-11,36,36,0,0,0,gene,Y23H5A.1,0,2629700,0.103598,6511,2623175,14,2629686,0,-14
I,+,2642725,0.0117371,0.0,426,421,5,5,37,gene,F40E3.2,0,2642740,0.898509,3258,2639467,15,2642741,16,1
I,+,2668168,0.00888099,0.0,563,558,5,3,7,gene,F32B5.6,0,2668168,1.59663,22766,2645402,0,2668168,0,0
I,+,2668794,0.0,0.5,1,1,0,0,11,gene,F32B5.6,0,2668848,1.59663,23392,2645402,54,2668794,0,-54
I,+,2697402,0.0,1.29247e-26,86,86,0,0,2,gene,F32B5.2,0,2697416,0.112091,3317,2694085,14,2697441,39,25
I,+,2707600,0.0031746,0.0,315,314,1,1,0,gene,Y71F9B.5,0,2707629,0.717804,5504,2702096,29,2707600,0,-29
I,+,2727015,0.00506829,0.0,11641,11582,59,50,1,gene,Y71F9B.4,1,2727018,8.99733,9471,2717544,3,2727015,0,-3
I,+,2730005,0.0770389,0.0,3985,3678,307,232,14,gene,Y71F9B.3,2,2730010,8.66835,2100,2727905,5,2730005,0,-5
I,+,2731563,0.902736,0.0,329,32,297,220,9,gene,Y71F9B.2,3,2731564,0.436655,106,2731457,1,2731565,2,1
I,+,2774913,0.0,0.0,376,376,0,0,4,gene,Y71F9B.1,0,2774913,0.658065,39599,2735314,0,2774914,1,1
I,+,2791688,0.012987,5.09543e-22,77,76,1,1,7,gene,W03D8.8,0,2791689,0.205357,4141,2787547,1,2791690,2,1
I,+,2796133,0.0,0.00012207,13,13,0,0,0,gene,W03D8.7,0,2796160,0.0202279,1170,2794963,27,2796384,251,224
I,+,2802810,0.0140845,1.79564e-39,142,140,2,2,1,gene,W03D8.6,0,2802822,0.53485,5548,2797262,12,2802823,13,1
I,+,2846716,0.0,0.125,3,3,0,0,0,gene,W10C8.1,0,2846720,0.0166902,25901,2820815,4,2846721,5,1
I,+,2866509,0.00220751,0.0,906,904,2,2,1,gene,Y71F9AL.10,0,2866540,1.23225,16716,2849793,31,2866509,0,-31
I,+,2876933,0.00265403,0.0,5275,5261,14,11,4,gene,Y71F9AL.9,1,2876936,9.43854,6765,2870168,3,2876933,0,-3
I,+,2878579,0.987421,1.68156e-44,159,2,157,126,3,gene,Y71F9AL.8,2,2878615,0.27713,57,2878522,36,2878579,0,-36
I,+,2887511,0.0,0.25,2,2,0,0,29,gene,Y71F9AL.7,0,2887539,0.591919,6647,2880864,28,2887801,290,262
I,+,2901328,0.00406229,0.0,1477,1471,6,6,6,gene,Y71F9AL.5,0,2901341,0.313813,10066,2891262,13,2901342,14,1
I,+,2925241,0.0,0.0,282,282,0,0,65,gene,Y71F9AL.1,0,2925245,0.379682,6407,2918834,4,2924933,-308,-312
I,+,2928396,0.00314465,0.0,3816,3804,12,9,20,gene,Y71F9AM.6,1,2928397,11.484,261,2928135,1,2928396,0,-1
I,+,2929834,0.234421,0.0,1011,774,237,191,1178,gene,Y71F9AM.5,2,2929840,2.20818,144,2929690,6,2929785,-49,-55
I,+,2931462,0.975524,0.0,286,7,279,179,44,gene,Y71F9AM.4,3,2931476,0.618405,101,2931361,14,2931462,0,-14
I,+,2935626,0.0,0.125,3,3,0,0,0,gene,Y71F9AM.4,3,2935683,0.618405,4265,2931361,57,2935624,-2,-59
I,+,2935988,0.0,0.015625,6,6,0,0,1,gene,Y71F9AM.4,3,2936042,0.618405,4627,2931361,54,2935988,0,-54
I,+,2996469,0.142857,0.0546875,7,6,1,1,106,gene,Y54E10BL.4,0,2996510,0.382404,47719,2948750,41,2996407,-62,-103
I,+,3010691,0.00422654,0.0,1183,1178,5,3,123,gene,Y54E10BL.2,0,3010799,6.40587,4748,3005943,108,3010691,0,-108
I,+,3015743,0.0100775,0.0,1290,1277,13,12,4,gene,Y54E10BR.4,1,3015745,2.33872,3302,3012441,2,3015743,0,-2
I,+,3021652,0.856703,0.0,649,93,556,389,3,gene,Y54E10BR.3,2,3021664,1.27149,122,3021530,12,3021650,-2,-14
I,+,3104364,0.0,4.23516e-22,71,71,0,0,3,gene,C45E1.1,0,3104368,0.55052,34969,3069395,4,3104364,0,-4
I,+,3148015,0.00363636,0.0,825,822,3,2,49,gene,K09H9.2,0,3148017,0.528468,9572,3138443,2,3148015,0,-2
I,+,3162814,0.00542888,0.0,921,916,5,5,347,gene,Y54E10A.7,1,3162816,1.52864,8421,3154393,2,3162814,0,-2
I,+,3163689,0.949198,0.0,374,19,355,230,2,gene,Y54E10A.6,2,3163692,0.652458,58,3163631,3,3163689,0,-3
I,+,3168194,0.944109,0.0,662,37,625,452,9,gene,Y54E10A.5,3,3168212,1.21357,715,3167479,18,3168194,0,-18
I,+,3168211,1.0,0.25,2,0,2,2,591,gene,Y54E10A.5,3,3168212,1.21357,732,3167479,1,3168194,-17,-18
I,+,3206802,0.0021978,0.0,455,454,1,1,37,gene,Y54E10A.17,0,3206804,2.70346,35576,3171226,2,3206802,0,-2
