,chr,source,feature,start,end,score,strand,frame,gene_name,gene_id,gene_version,gene_source,gene_biotype,transcript_id,transcript_source,transcript_biotype,exon_number,exon_id
154,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,15.0,B0348.4a.1.e15
156,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,16.0,B0348.4a.1.e16
158,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,17.0,B0348.4a.1.e17
160,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,18.0,B0348.4a.1.e18
162,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,19.0,B0348.4a.1.e19
164,V,WormBase,exon,43026,43687,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,20.0,B0348.4a.1.e20
170,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
173,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
175,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
177,V,WormBase,exon,23562,23645,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,4.0,B0348.4a.1.e4
179,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,5.0,B0348.4a.1.e5
181,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,6.0,B0348.4a.1.e6
183,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,7.0,B0348.4a.1.e7
185,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,8.0,B0348.4a.1.e8
187,V,WormBase,exon,28382,28699,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,9.0,B0348.4a.1.e9
189,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,10.0,B0348.4a.1.e10
191,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,11.0,B0348.4a.1.e11
193,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,12.0,B0348.4a.1.e12
195,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,13.0,B0348.4a.1.e13
197,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,14.0,B0348.4a.1.e14
199,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,15.0,B0348.4a.1.e15
201,V,WormBase,exon,38991,39026,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,16.0,B0348.4b.1.e16
203,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,17.0,B0348.4a.1.e16
205,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,18.0,B0348.4a.1.e17
207,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,19.0,B0348.4a.1.e18
209,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,20.0,B0348.4a.1.e19
211,V,WormBase,exon,43026,43697,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4b.1,WormBase,protein_coding,21.0,B0348.4b.1.e21
217,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
220,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
222,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
224,V,WormBase,exon,23562,23645,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,4.0,B0348.4a.1.e4
226,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,5.0,B0348.4a.1.e5
228,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,6.0,B0348.4a.1.e6
230,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,7.0,B0348.4a.1.e7
232,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,8.0,B0348.4a.1.e8
234,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,9.0,B0348.4a.1.e11
236,V,WormBase,exon,30355,30703,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4c.1,WormBase,protein_coding,10.0,B0348.4c.1.e10
242,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
245,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
247,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
249,V,WormBase,exon,23562,23645,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,4.0,B0348.4a.1.e4
251,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,5.0,B0348.4a.1.e5
253,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,6.0,B0348.4a.1.e6
255,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,7.0,B0348.4a.1.e7
257,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,8.0,B0348.4a.1.e8
259,V,WormBase,exon,28382,28699,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,9.0,B0348.4a.1.e9
261,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,10.0,B0348.4a.1.e10
263,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,11.0,B0348.4a.1.e11
265,V,WormBase,exon,31340,31582,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,12.0,B0348.4d.1.e12
267,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,13.0,B0348.4a.1.e12
269,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,14.0,B0348.4a.1.e13
271,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,15.0,B0348.4a.1.e14
273,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,16.0,B0348.4a.1.e15
275,V,WormBase,exon,38991,39026,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,17.0,B0348.4b.1.e16
277,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,18.0,B0348.4a.1.e16
279,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,19.0,B0348.4a.1.e17
281,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,20.0,B0348.4a.1.e18
283,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,21.0,B0348.4a.1.e19
285,V,WormBase,exon,43026,43697,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4d.1,WormBase,protein_coding,22.0,B0348.4b.1.e21
291,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
294,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
296,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
298,V,WormBase,exon,23562,23645,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,4.0,B0348.4a.1.e4
300,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,5.0,B0348.4a.1.e5
302,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,6.0,B0348.4a.1.e6
304,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,7.0,B0348.4a.1.e7
306,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,8.0,B0348.4a.1.e8
308,V,WormBase,exon,28382,28699,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,9.0,B0348.4a.1.e9
310,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,10.0,B0348.4a.1.e10
312,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,11.0,B0348.4a.1.e11
314,V,WormBase,exon,31340,31582,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,12.0,B0348.4d.1.e12
316,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,13.0,B0348.4a.1.e12
318,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,14.0,B0348.4a.1.e13
320,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,15.0,B0348.4a.1.e14
322,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,16.0,B0348.4a.1.e15
324,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,17.0,B0348.4a.1.e16
326,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,18.0,B0348.4a.1.e17
328,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,19.0,B0348.4a.1.e18
330,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,20.0,B0348.4a.1.e19
332,V,WormBase,exon,43026,43687,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4e.1,WormBase,protein_coding,21.0,B0348.4a.1.e20
338,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
341,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
343,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
345,V,WormBase,exon,23562,23645,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,4.0,B0348.4a.1.e4
347,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,5.0,B0348.4a.1.e5
349,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,6.0,B0348.4a.1.e6
351,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,7.0,B0348.4a.1.e7
353,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,8.0,B0348.4a.1.e8
355,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,9.0,B0348.4a.1.e10
357,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,10.0,B0348.4a.1.e11
359,V,WormBase,exon,31340,31582,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,11.0,B0348.4d.1.e12
361,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,12.0,B0348.4a.1.e12
363,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,13.0,B0348.4a.1.e13
365,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,14.0,B0348.4a.1.e14
367,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,15.0,B0348.4a.1.e15
369,V,WormBase,exon,38991,39026,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,16.0,B0348.4b.1.e16
371,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,17.0,B0348.4a.1.e16
373,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,18.0,B0348.4a.1.e17
375,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,19.0,B0348.4a.1.e18
377,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,20.0,B0348.4a.1.e19
379,V,WormBase,exon,43026,43697,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4f.1,WormBase,protein_coding,21.0,B0348.4b.1.e21
385,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4g.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
388,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4g.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
390,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4g.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
392,V,WormBase,exon,23562,23645,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4g.1,WormBase,protein_coding,4.0,B0348.4a.1.e4
394,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4g.1,WormBase,protein_coding,5.0,B0348.4a.1.e5
396,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4g.1,WormBase,protein_coding,6.0,B0348.4a.1.e6
398,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4g.1,WormBase,protein_coding,7.0,B0348.4a.1.e7
400,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4g.1,WormBase,protein_coding,8.0,B0348.4a.1.e8
